项目ID,项目编号,项目名称,项目金额,业务模式,业务条线,租赁模式,项目状态,客户ID,客户名称,客户经理ID,客户经理名称,部门ID,部门名称,机构ID,机构名称,项目资金用途,国家,省份,市,地区,详细地址,项目第一偿还来源,项目第二偿还来源,租赁物描述,争议解决方式,数据版本,创建人,创建时间,最后修改人,最后修改时间,单据来源主键,单据来源类型,出租人机构ID,业务单据类型,总裁审批状态,是否上预审会,是否上审决会,删除标识,审批结束时间,总裁审批通过时间,决策有效期,全投资内部收益率,租赁利率,调整方式,保证金比例及收取方式,手续费比例及收取方式,租金支付方式,审决会投票委员,项目来源,客户initId,项目初始化id,业务变更版本号,业务属性,业务类型,租赁物类型,项目资金类型,业务条线类型
03fa62f3-ae39-439e-b7aa-dfee771c3505,XM2025110001,广西田林县200MW/400MWh独立储能电站项目,252000000.0,普通融资租赁,储能业务,直租,PASS,c637651a-67d7-45d4-bc10-97a874f70876,广西田林瑞电融储能源科技有限公司,2e265cfe-b3cd-46e9-9830-5c82a6e7933b,欧阳宁烽,yls_kflj70000m9tqt,业务二部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,储能场站设备采购及配套设施,156.0,广西壮族自治区,百色市,田林县,,电站售电收益,调峰补偿,储能设备及配套设施,litigation,61,2e265cfe-b3cd-46e9-9830-5c82a6e7933b,2025-11-14 16:31:01,103014,2025-11-26 09:07:40,14da4b46-9f8e-4541-88cc-2c91e49380d2,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,1.0,1.0,0,2025/11/26 09:07:40,2025/11/25,1,0.0538,参照2025年06月20日央行五年期LPR3.50%利率加点值105.00BP，即4.55%。,固定利率,0,租赁本金的1.5%，一次性收取,按4.55%计息，期末20号收取。宽限期9个月，宽限期内只还息不还本，宽限期结束后等额本息还款,"[""103049"", ""102929"", ""102653"", ""102569"", ""102791"", ""103075"", ""103010""]",,c4702b71-aadf-4aff-9bc5-43d7376208b8,f04f9d36-1d58-4863-be65-ef6bdd4b5e3a,1.0,市场化,自主开发类,储能设备,设备采购,储能
0f6d113f-503e-4636-b7ca-4636948fafaa,XM2025090002,耒阳市遥田哲桥片128.31MW农光互补发电项目,287000000.0,普通融资租赁,光伏发电,直租,PASS,7ed2aa4e-4e4e-4811-9cee-89af998066dd,耒阳市弘辉新能源有限公司,102665,杨洋,yls_kflj7000083a4f,业务三部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,主要用途为EPC总包方项目建设用款，包括设备采购及建设工程款等。,156.0,湖南省,衡阳市,耒阳市,,光伏电站发电收益,光伏电站发电收益,光伏电站的发电设备及配套设施,compulsoryNotarization,22,102665,2025-09-16 16:09:36,103014,2025-11-26 09:08:34,658a6b0d-0201-4198-859f-8e70c3996c13,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,1.0,1.0,0,2025/11/26 09:08:34,2025/11/25,1,0.05,参照2025年08月20日央行五年期LPR3.50%利率加点值130.00BP，即4.80%。,固定利率,0,1%；一次性收取,宽限期1年，宽限期内只还息不换本，按季支付。,"[""103049"", ""102929"", ""102653"", ""102569"", ""102791"", ""103075"", ""103010""]",,3629996b-24f3-4c60-9c8a-0f04f37471f7,367751c8-6086-4113-bb56-98b3403e59f2,1.0,市场化,常规融资租赁,光伏设备,EPC款项,光伏
131ae6b5-e748-49d1-9a58-047878b200a5,XM2025050001,山西屯留丰宜102MW股债联动债权直租项目,550000000.0,普通融资租赁,风力发电,直租,PASS,63fd0580-4d9d-4c91-9cd6-4768f3998483,长治市屯留区汇能风电有限公司,102673,王力平,yls_kflj70000m9trw,能源业务四部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,风电项目建设,156.0,山西省,长治市,屯留县,,电站收入,担保人收入,风电设备及附属设施,litigation,23,102673,2025-05-09 09:13:21,102870,2025-05-15 14:08:47,b68a7ec6-9236-4c83-a92c-a962311acb42,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2025/05/15 14:08:46,2025/05/15,1,0.0555,参照2025年04月21日央行五年期LPR3.60%利率加点值40.00BP，即4.00%。,浮动利率,0,租赁本金0.5%,宽限期24个月，宽限期只还息不还本，宽限期后等额本息季付,"[""102544"", ""102929"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""103010"", ""102977""]",NEW_MARKET_DEVELOP,57e4086c-5729-418d-b0cc-74e7056a1ed7,2e125e96-7593-432b-b76a-5ace42bff86b,1.0,市场化,常规融资租赁,风电设备,项目建设,风电
149e9a6a-dfaf-4d4d-887b-b748b3c55063,XM2024030003,柴桑区100MW三能风电场预收购项目5.7亿直租,570000000.0,普通融资租赁,风力发电,直租,PASS,811f09be-30e0-4b15-b1c7-448eade2c212,九江市柴桑区三能风力发电有限公司,103092,谢赞,yls_kflj70000k323e,能源业务二部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,项目建设,156.0,江西省,九江市,市辖区,,电站收益,股东出资,风机等,litigation,15,103092,2024-06-12 18:26:02,102870,2024-10-24 10:47:55,ab9c5d61-ef38-490e-bb7f-19f8c0d1921c,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,0.0,1.0,0,2024/05/07 11:02:32,2024/10/23,1,0.0566,参照2024年04月22日央行五年期LPR3.95%利率加点值15.00BP，即4.10%。,浮动利率,0,0,不规则,"[""102544"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""102683""]",,18852f42-ed89-496f-8356-757eb31ccc28,1bc27de1-0a11-452a-bd83-c764839b35a8,2.0,市场化,常规融资租赁,风电设备,项目建设,风电
1af3a00a-c1e1-4e20-826f-db2e0d298748,XM2024060003,哈尔滨周家50MW风力发电项目,275000000.0,普通融资租赁,风力发电,直租+回租,PASS,0b333e47-c690-4033-8bbe-d356ab2b54ec,哈尔滨泰豪新能源分布式发电有限公司,102616,吴怡,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,建设50MW风电项目,156.0,黑龙江省,哈尔滨市,双城区,哈尔滨双城区周家镇，位于 X001 县道及 G102 国道两侧,电费收入,担保保证,50MW风机,litigation,37,102616,2024-06-26 10:52:13,102870,2024-10-28 09:22:11,7d14c1eb-4edf-4d5b-80dc-a42982ace188,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2024/10/28 09:22:10,2024/10/26,1,0.07,参照2024年05月20日央行五年期LPR3.95%利率加点值65.00BP，即4.60%。,浮动利率,0,1%,不规则，设有宽限期12个月后等额本息、季付进行租金偿还,"[""102544"", ""102929"", ""102622"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""102683""]",NEW_MARKET_DEVELOP,68acd1d1-335c-46ad-b2ab-04aeb4edd39e,765fa5fc-8d6c-499c-ad70-a2c5cf0d0346,1.0,市场化,常规融资租赁,风电设备,项目建设,风电
1ee4098d-4ef4-440e-b3a2-032d4fccf4c1,XM2025080003,抚顺市胜利开发区鸿安新能源有限公司6MW分散式风电项目,32110000.0,普通融资租赁,风力发电,直租,PASS,635c4433-2f93-4eca-b2c2-207b5e2d160f,抚顺鸿安新能源有限公司,102596,刘远洋,yls_dev10000005bq0q,能源业务三部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,建设6MW 风电站,156.0,辽宁省,抚顺市,新抚区,辽宁省抚顺市新抚区千金乡、众益环保厂项目地,电费收入,担保,6MW风电机组,litigation,21,102616,2025-08-22 14:21:50,102870,2025-09-05 10:16:11,eb10ed4f-d479-4623-9adf-b2f7181130fb,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2025/09/05 10:16:10,2025/09/05,1,0.0632,参照2025年07月21日央行五年期LPR3.50%利率加点值250.00BP，即6.00%。,固定利率,0,2%，放款前一次性付款,按季付息，宽限期1年＋14年,"[""102544"", ""102929"", ""102976"", ""103049"", ""102644"", ""206755c0-7349-4c5f-9ece-a23c3dd52f70"", ""103010"", ""102977""]",NEW_MARKET_DEVELOP,b4ce69a3-1f17-44e3-81f7-ea294a78185e,23382f3a-5edd-40cf-8330-428bf2c739a9,1.0,市场化,自主开发类,风电设备,项目建设,风电
1f5df8d5-af13-4928-92a6-b5614553d893,XM2024120008,杭州律能光储回租项目,6000000.0,普通融资租赁,储能业务,回租,PASS,05fdab1b-845d-4cde-acfc-581447df5786,杭州律能科技有限公司,02a7f4e5-f6e5-418d-b01c-b98860453e17,严容,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,湖北浠水光储充换综合示范项目换电站及配套电池设备采购款,156.0,浙江省,杭州市,萧山区,杭州市萧山蜀山街道章潘桥村、滨江区西兴街道聚园路9号4幢102 室、萧山区红垦农场,存量储能、光伏项目收益,存量光伏项目收益,1、2.15MWh储能设备2、0.65MWp分布式光伏设备固定资产3、1.29MWh储能项目固定资产,litigation,46,6b4cdd9b-4924-4c2f-a4f3-25f6bb14b859,2024-12-13 12:10:50,6b4cdd9b-4924-4c2f-a4f3-25f6bb14b859,2025-02-07 16:28:05,5340ef00-4beb-44fc-8111-029e34152b81,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,,0.0,0.0,0,2024/12/18 17:16:10,,1,0.06,参照2024年11月20日央行一年期LPR3.10%利率加点值290.00BP，即6.00%。,固定利率,0.00,0.00,月度还款，共计84期，期末每月25号还款，按照等额本息方式计算租金，无宽限期,,NEW_MARKET_DEVELOP,47e46efd-7f52-4079-a75d-453ffbff3b4d,367fcd37-820b-4ee1-b08d-6c35f41270fe,1.0,市场化,常规融资租赁,综合能源设备,设备采购,储能
205e6038-2350-4785-841a-f8bb67f56fa5,XM2025040005,城配物流电池银行直租项目,18684900.0,普通融资租赁,储能业务,直租,PASS,35ec433f-6db7-47c0-86b8-913ce8774f91,长沙市橙电新能源服务有限公司,02a7f4e5-f6e5-418d-b01c-b98860453e17,严容,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,采购动力电池设备,156.0,江苏省,常州市,新北区,,电池委托运营费用,项目保证金,商用物流车动力电池总成,litigation,48,6b4cdd9b-4924-4c2f-a4f3-25f6bb14b859,2025-04-29 17:37:26,6b4cdd9b-4924-4c2f-a4f3-25f6bb14b859,2025-05-13 14:00:50,44802ff7-b402-4c3d-bc7c-c19dd2c9c3b0,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,0.0,1.0,0,2025/05/12 14:57:56,2025/05/12,1,0.05,参照2025年04月21日央行一年期LPR3.10%利率加点值190.00BP，即5.00%。,固定利率,无,无,月度还款，共计72期。按照等额本息方式计算租金,"[""102562"", ""c72d2b1a-3f58-4920-9d00-39827c42dfdb"", ""102569"", ""102791"", ""103075""]",OTHER,ba06711c-de79-460a-885f-5f42476490b1,c6dd05a5-724c-4e01-b5ee-e534b5460c24,1.0,市场化,常规融资租赁,车辆设备,设备采购,储能
226f3c54-0c3f-4fe1-af38-04af12580dfd,XM2022100002,甘州区50MW智慧农光互补光伏项目,240000000.0,普通融资租赁,光伏发电,直租,PASS,157a944c-9df8-429f-a58e-74c89034f5db,甘肃颜伟新能源有限公司,102632,李艳茹,yls_kflj70000k323e,能源业务二部,yls_dev10000005bq0g,中国康富国际租赁股份有限公司,主要用途为支付光伏电站的设备采购款、施工总包款,156.0,甘肃省,张掖市,甘州区,甘肃省张掖市甘州区明永镇沿河村,光伏电站发电收入,国电投甘肃公司收购置换,50MW光伏电站的发电设备及配套设施，构筑物,litigation,18,102632,2022-10-11 10:54:35,000,2023-06-02 18:03:49,ab052152-4777-46d0-8266-8530b5b3fca6,BUSINESS_APPLY,yls_dev10000005bq0g,STATISTIC,1.0,1.0,1.0,0,2022/10/14 16:30:58,2022/10/14,1,0.06,参照2022年08月22日央行一年期LPR3.65%利率加点值85.00BP，即4.50%。,浮动利率,0,下款前按当期下款额度的1%收取；第2年起每年按租赁本金的0.2%收取,宽限期只还息不还本，季付后付；宽限期后如能对接银行保理资金，按银行要求执行，否则等额本息还款，季付后付。,"[""103030"", ""102542"", ""103029"", ""102670"", ""102644"", ""102929"", ""102622"", ""102976"", ""103010""]",INTRA_GROUP_RECOMMEND,db45084c-50f7-4c0f-b9b4-6ed2d9cbdba6,55f8901d-9c0f-47de-9dfa-2947d141ebd7,1.0,未知,未知,光伏设备,设备采购,光伏
244a78f7-5d0b-488f-9640-84f856589e7a,XM2025070001,珠海中电数码3MW工商业屋顶分布式光伏项目,7500000.0,普通融资租赁,光伏发电,直租,PASS,1ecc9dad-d5be-4b52-8e02-63b724e3ada2,广东汇聚新能源科技有限公司,02a7f4e5-f6e5-418d-b01c-b98860453e17,严容,yls_kflj7000083a4e,业务一部,yls_kflj700008aglr,富鸿资本（湖南）融资租赁有限公司,用于支付光伏设备及项目建设款项,156.0,广东省,珠海市,金湾区,,项目发电收入,股东资金,光伏设备及其基础设施建设,litigation,41,02a7f4e5-f6e5-418d-b01c-b98860453e17,2025-07-03 11:41:31,103014,2025-07-11 11:35:33,7d072940-f694-4e03-b74c-1301e726a449,BUSINESS_APPLY,yls_kflj700008aglr,STATISTIC,1.0,1.0,1.0,0,2025/07/11 11:35:32,2025/07/10,1,0.0851,参照2025年06月20日央行五年期LPR3.50%利率加点值140.00BP，即4.90%。,固定利率,0,按照租赁本金的2%，下款前一次性支付,按月，等额本息，后付,"[""102544"", ""102562"", ""c72d2b1a-3f58-4920-9d00-39827c42dfdb"", ""102653"", ""102569"", ""102791"", ""103075""]",,ee0ec36f-39bf-465b-a76f-6bf8a3526b5f,3b6ddba5-60ff-4c37-8cc3-7027112bfca5,1.0,市场化,常规融资租赁,光伏设备,项目建设,光伏
