=== 所有租赁物描述 (按频次) ===
  [145] nan
  [11] 光伏发电设备及附属设施
  [11] 光伏电站发电设备
  [8] 风力发电设备及附属设施
  [7] 储能设备及其附属设施
  [6] 风力发电设备及不动产
  [5] 光伏发电设备及配套设施
  [5] 光伏发电设备
  [4] 风机、塔筒和升压站及其附属设施
  [3] 光伏电站的发电设备及配套设施
  [3] 风电电站设备及其配套设施
  [3] 储能电站及基础设施
  [3] 风力发电设备
  [3] 风电机组及附属设施
  [2] 储能系统
  [2] 风机设备及基础
  [2] 风力发电设备及其附属设施
  [2] 供热热源站设备
  [2] 光伏电站
  [2] 风电项目设备
  [2] 分布式光伏电站的发电设备及配套设施
  [2] 供暖设备
  [2] 独立储能电站及附属设施
  [2] 水电站大坝、发电机组等资产
  [2] 水电站设备及其他资产
  [2] 海上风电设备及其配套设施
  [2] 储能电站设备及附属设施
  [2] 风电设备及其附属配件、基础设施及不动产
  [2] 风电电站的发电设备及配套设施，构筑物
  [2] 储能电站的全套设备
  [2] 光伏电站及附属设施
  [2] 光伏电站设备等
  [2] 供热热源站的全套设备
  [2] 风力发电设备及配套构筑物
  [2] 风力发电设备及工程
  [1] 光伏发电站的发电设备及配套设施
  [1] 风电站发电、输电设备
  [1] 储能设备及配套设施
  [1] 巧家、镇雄70MW光伏电站发电
  [1] 光伏电站发电及配套设备
  [1] 20MW光伏电站发电设备及配套设施
  [1] 光伏发电站设备
  [1] 电力设备、供电网络
  [1] 交通运输设备
  [1] 光伏电站发电及输电设备
  [1] 40MW光伏电站
  [1] 水力发电设备及大坝等基础设施
  [1] 风机基础、箱变基础
  [1] 风电电站的发电设备及配套设
  [1] 光伏发电设备及其附属设施
  [1] 固体蓄热储能设备
  [1] 三一重能风电设备及配套设施
  [1] 双碳锦州松山新区消防救援大队电供暖项目全套设备
  [1] 100MW光伏电站的发电设备及配套设施，构筑物
  [1] 组件、逆变器等
  [1] 光伏组件、逆变器等
  [1] 光伏组件、逆变器、开关柜、储能、其他电器设备
  [1] 光伏组件、储能设施、电器设备
  [1] 水电站设备及构筑物
  [1] 风电电站设备及其配套设施，构筑物
  [1] 水电站及附属物
  [1] 光伏发电设备及配套设施以及构筑物
